id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype
204,10.236.212.32,1,working,working,working,NULL,ok,88ms,30-07-2019 16:42,0,30-07-2019 16:42,P1DCPT01,1907729,0,2019-06-28T23:08:07Z,,Hikvision
207,10.236.212.44,1,working,working,working,NULL,notexist,502ms,30-07-2019 16:42,0,30-07-2019 16:42,P1DCGY02,1907729,0,,,Hikvision
208,10.60.240.80,1,working,working,working,NULL,ok,494ms,30-07-2019 16:43,0,30-07-2019 16:43,P1DCHY62,1907729,0,2019-07-15T08:43:02Z,,Hikvision
211,10.236.40.237,1,working,working,working,NULL,ok,382ms,30-07-2019 16:43,0,30-07-2019 16:43,P1DCBG03,1907729,0,2019-05-17T14:24:50Z,,Hikvision
214,10.236.212.96,1,working,working,working,NULL,notexist,839ms,30-07-2019 16:43,0,30-07-2019 16:43,P3ECUP04,0,0,,,Hikvision
216,10.60.241.241,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:44,1,0000-00-00 00:00:00,P1ENDL21,,,,,Hikvision
222,10.236.212.206,1,working,working,working,NULL,ok,408ms,30-07-2019 16:44,0,30-07-2019 16:44,P3ECDE21,1907729,0,2019-06-04T08:36:40Z,,Hikvision
228,10.60.240.197,1,working,working,working,NULL,ok,275ms,30-07-2019 16:45,0,30-07-2019 16:45,P3ENDL18,1907729,710656,2019-06-01T06:00:00Z,,Hikvision
245,10.236.212.157,1,working,working,working,NULL,ok,471ms,30-07-2019 16:45,0,30-07-2019 16:45,P1ENCN20,1907729,0,2019-07-13T14:04:07Z,,Hikvision
254,10.60.241.141,1,working,working,working,NULL,ok,542ms,30-07-2019 16:45,0,30-07-2019 16:45,P1ENCI26,1907729,0,2019-07-07T23:07:48Z,,Hikvision
283,10.185.180.162,1,working,working,working,NULL,ok,422ms,30-07-2019 16:45,0,30-07-2019 16:45,P3ENPU22,1907729,0,2019-05-30T09:43:50Z,,Hikvision
285,10.185.181.202,1,working,working,working,NULL,ok,679ms,30-07-2019 16:45,0,30-07-2019 16:45,P3ENKK05,1907729,1799168,2019-05-10T19:14:00Z,,Hikvision
302,10.185.181.183,1,working,working,working,NULL,notexist,411ms,30-07-2019 16:46,0,30-07-2019 16:46,P1ENMU25,0,0,,,Hikvision
307,10.60.241.63,1,working,working,working,NULL,ok,62ms,30-07-2019 16:46,0,30-07-2019 16:46,P1ECPU05,1907729,0,,,Hikvision
332,10.185.181.118,1,working,working,working,NULL,ok,353ms,30-07-2019 16:47,0,30-07-2019 16:47,MC016882,1907729,0,2019-05-22T00:00:23Z,,Hikvision
341,10.60.241.76,1,working,working,working,NULL,ok,451ms,30-07-2019 16:48,0,30-07-2019 16:48,P1ECDL14,953869,0,,,Hikvision
344,10.60.240.137,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:48,0,0000-00-00 00:00:00,P3ENDL07,,,,,Hikvision
351,10.60.240.170,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:48,0,0000-00-00 00:00:00,P3DCJM05,,,,,Hikvision
367,10.60.241.232,1,NULL,NULL,NULL,NULL,NULL,NULL,30-07-2019 16:49,1,0000-00-00 00:00:00,P3DCKH02,,,,,Hikvision
368,10.236.212.27,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:49,0,0000-00-00 00:00:00,P3DCKN02,,,,,Hikvision
369,10.236.212.39,1,working,working,not working,NULL,ok,105ms,30-07-2019 16:49,0,30-07-2019 16:49,P1DCBG02,1907729,0,2019-04-20T22:31:16Z,,Hikvision
370,10.185.181.40,1,working,working,working,NULL,notexist,306ms,30-07-2019 16:49,0,30-07-2019 16:49,P1DCBG04,1907729,0,,,Hikvision
371,10.236.212.38,1,working,working,working,NULL,ok,483ms,30-07-2019 16:50,0,30-07-2019 16:50,P1DCBG01,1907729,0,2019-06-14T01:59:19Z,,Hikvision
373,10.236.212.240,1,working,working,working,NULL,ok,214ms,30-07-2019 16:50,0,30-07-2019 16:50,P3ENGG03,953869,0,2019-06-17T14:33:25Z,,Hikvision
383,10.60.243.95,1,working,working,working,NULL,ok,534ms,30-07-2019 16:50,0,30-07-2019 16:50,P1EWPU33,1907729,0,2019-05-19T03:14:34Z,,Hikvision
401,10.60.240.163,1,working,working,working,NULL,ok,169ms,30-07-2019 16:51,0,30-07-2019 16:51,SC004808,1907729,139264,2019-07-16T23:53:58Z,,Hikvision
407,10.60.243.71,1,working,working,working,NULL,ok,757ms,30-07-2019 16:51,0,30-07-2019 16:51,P3ENPU24,1907729,0,2019-07-14T15:19:39Z,,Hikvision
413,10.236.40.209,1,working,working,working,NULL,ok,432ms,30-07-2019 16:51,0,30-07-2019 16:51,P1DCHD06,1907729,0,2019-07-14T07:46:29Z,,Hikvision
424,10.236.40.189,1,working,working,working,NULL,ok,454ms,30-07-2019 16:51,0,30-07-2019 16:51,P3DCOG05,1907729,0,2019-07-10T22:56:54Z,,Hikvision
426,10.236.40.191,1,working,not working,working,NULL,ok,492ms,30-07-2019 16:51,0,30-07-2019 16:51,P3DCNE08,1907729,0,2019-07-16T23:20:38Z,,Hikvision
427,10.185.181.39,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 16:52,0,0000-00-00 00:00:00,P1DCCP02,,,,,Hikvision
428,10.236.40.236,1,working,working,working,NULL,error,435ms,30-07-2019 16:52,0,30-07-2019 16:52,P1DCCP03,1907729,0,,,Hikvision
429,10.236.212.43,1,working,working,working,NULL,ok,424ms,30-07-2019 16:52,0,30-07-2019 16:52,P1DCMZ04,1907729,0,2019-05-21T19:46:12Z,,Hikvision
431,10.236.40.23,1,working,working,working,NULL,ok,359ms,30-07-2019 16:53,0,30-07-2019 16:53,P1DCMZ07,1907729,0,2019-05-23T22:12:26Z,,Hikvision
