id,ip,status,cam1,cam2,cam3,cam4,hdd,latency,cdate,login_status,last_communication,atmid,capacity,freespace,recording_from,recording_to,dvrtype,live
937,10.185.181.49,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:34,0,0000-00-00 00:00:00,MC011111,,,,,Hikvision,Y
938,10.60.242.253,1,working,working,working,NULL,ok,117ms,30-07-2019 22:34,0,30-07-2019 22:34,P1ENAL04,1907729,528384,2019-05-16T06:00:00Z,,Hikvision,Y
939,10.185.181.18,1,working,working,working,NULL,ok,607ms,30-07-2019 22:35,0,30-07-2019 22:35,P3ECOI01,1907729,0,2019-07-09T19:27:34Z,,Hikvision,Y
940,10.185.180.169,1,working,working,working,NULL,ok,226ms,30-07-2019 22:35,0,30-07-2019 22:35,P3ECNE01,1907729,0,2019-06-23T17:26:28Z,,Hikvision,Y
941,10.185.180.167,1,working,working,working,NULL,ok,486ms,30-07-2019 22:36,0,30-07-2019 22:36,MN005006,1907729,0,2019-04-25T11:43:47Z,,Hikvision,Y
942,10.185.181.212,1,working,working,working,NULL,ok,330ms,30-07-2019 22:36,0,30-07-2019 22:36,P3DCBW01,1907729,0,,,Hikvision,Y
943,10.185.180.174,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:36,0,0000-00-00 00:00:00,P3ENCI92,,,,,Hikvision,Y
944,10.60.243.33,1,working,working,working,NULL,ok,549ms,30-07-2019 22:08,0,30-07-2019 22:08,P1DCBU06,1907729,0,2019-07-07T16:01:37Z,,Hikvision,Y
945,10.185.181.48,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:08,0,0000-00-00 00:00:00,P3ECSO05,,,,,Hikvision,Y
946,10.185.180.188,1,working,working,working,NULL,ok,489ms,30-07-2019 22:08,0,30-07-2019 22:08,P3ENKD03,1907729,0,,,Hikvision,Y
948,10.185.180.181,1,working,working,working,NULL,ok,817ms,30-07-2019 22:09,0,30-07-2019 22:09,P1DCBU33,1907729,0,2019-06-08T17:20:04Z,,Hikvision,Y
949,10.60.243.5,1,working,working,working,NULL,notexist,509ms,30-07-2019 22:09,0,30-07-2019 22:09,P1DCBU34,0,0,,,Hikvision,Y
950,10.60.242.162,1,working,working,working,NULL,notexist,421ms,30-07-2019 22:09,0,30-07-2019 22:09,P3ECNK21,1907729,0,,,Hikvision,Y
951,10.60.242.235,1,working,working,working,NULL,ok,403ms,30-07-2019 22:09,0,30-07-2019 22:09,P3ECBN27,1907729,0,2019-05-16T11:57:57Z,,Hikvision,Y
952,10.60.242.236,1,working,working,working,NULL,ok,429ms,30-07-2019 22:10,0,30-07-2019 22:10,P1DCBU18,1907729,0,2019-05-28T18:09:35Z,,Hikvision,Y
953,10.236.40.207,1,working,working,working,NULL,ok,558ms,30-07-2019 22:10,0,30-07-2019 22:10,P3ENHE19,1907729,0,,,Hikvision,Y
954,10.60.243.52,0,NULL,NULL,NULL,NULL,NULL,,30-07-2019 22:10,0,0000-00-00 00:00:00,P1ECVR01,,,,,Hikvision,Y
955,10.60.241.237,0,working,working,working,NULL,unformatted,2182ms,30-07-2019 22:11,0,30-07-2019 21:43,P3ENMI64,3950,0,,,Hikvision,Y
956,10.185.180.224,1,working,working,working,NULL,ok,635ms,30-07-2019 22:11,0,30-07-2019 22:11,P1DCBU16,1907729,0,2019-07-08T14:46:01Z,,Hikvision,Y
957,10.185.182.58,1,working,working,working,NULL,ok,759ms,30-07-2019 22:11,0,30-07-2019 22:11,P3DCSH02,1907729,0,2019-06-24T09:19:48Z,,Hikvision,Y
958,10.60.243.21,1,working,working,working,NULL,ok,821ms,30-07-2019 22:12,0,30-07-2019 22:12,MC0014205,1907729,0,,,Hikvision,Y
959,10.185.180.160,1,working,working,working,NULL,ok,578ms,30-07-2019 22:12,0,30-07-2019 22:12,P3ENSK02,1907729,0,2019-04-22T12:57:34Z,,Hikvision,Y
960,10.60.242.160,1,working,working,working,NULL,ok,471ms,30-07-2019 22:13,0,30-07-2019 22:13,MC004066,1907729,0,,,Hikvision,Y
961,10.185.181.83,1,working,working,working,NULL,ok,622ms,30-07-2019 22:13,0,30-07-2019 22:13,P3ENHE27,1907729,0,2019-07-02T13:25:06Z,,Hikvision,Y
962,10.185.181.19,1,working,working,working,NULL,ok,660ms,30-07-2019 22:14,0,30-07-2019 22:14,P3ECML03,1907729,0,,,Hikvision,Y
964,10.185.181.57,1,working,working,working,NULL,ok,543ms,30-07-2019 22:14,0,30-07-2019 22:14,P3ENGY10,1907729,0,2019-05-08T10:30:07Z,,Hikvision,Y
965,10.185.181.105,1,working,working,working,NULL,ok,384ms,30-07-2019 22:14,0,30-07-2019 22:14,MN006102,1907729,0,2019-05-17T23:31:51Z,,Hikvision,Y
966,10.60.240.53,1,working,working,working,NULL,ok,719ms,30-07-2019 22:14,0,30-07-2019 22:14,P3ECSP02,1907729,0,2019-05-21T18:23:02Z,,Hikvision,Y
