"id","ip","status","cam1","cam2","cam3","cam4","hdd","latency","cdate","login_status","last_communication","atmid","capacity","freespace","recording_from","recording_to","dvrtype","live"
"250","10.236.212.215",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCN68",,,,,"CPPLUS","Y"
"251","10.236.212.207",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI37",,,,,"CPPLUS","Y"
"252","10.236.212.233",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI18",,,,,"CPPLUS","Y"
"253","10.236.212.161",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI30",,,,,"CPPLUS","Y"
"254","10.60.241.141","1","working","working","working",NULL,"ok","673ms","2019-08-01 15:34:07","0","2019-08-01 15:34:07","P1ENCI26","1907729","0","2019-07-07T23:07:48Z",,"Hikvision","Y"
"255","10.236.212.244",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCN35",,,,,"CPPLUS","Y"
"256","10.236.212.159",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCN45",,,,,"CPPLUS","Y"
"257","10.236.212.69",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCN56",,,,,"CPPLUS","Y"
"258","10.236.212.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWCH17",,,,,"CPPLUS","Y"
"259","10.60.243.208",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCI20",,,,,"CPPLUS","Y"
"260","10.236.212.182",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWCH20",,,,,"CPPLUS","Y"
"261","10.60.241.138",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH42",,,,,"CPPLUS","Y"
"262","10.236.212.154",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH57",,,,,"CPPLUS","Y"
"263","10.236.212.149",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH38",,,,,"CPPLUS","Y"
"264","10.185.180.173",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENTN17",,,,,"CPPLUS","Y"
"265","10.60.240.67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENTN11",,,,,"CPPLUS","Y"
"266","10.236.212.181",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH72",,,,,"CPPLUS","Y"
"267","10.236.212.170",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH18",,,,,"CPPLUS","Y"
"268","10.236.212.190",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENCI05",,,,,"CPPLUS","Y"
"269","10.236.212.179",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENTP07",,,,,"CPPLUS","Y"
"270","10.236.212.185",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENCI38",,,,,"CPPLUS","Y"
"271","10.60.240.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENCI34",,,,,"CPPLUS","Y"
"272","10.236.212.183",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENCH74",,,,,"CPPLUS","Y"
"273","10.185.180.253",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU07",,,,,"CPPLUS","Y"
"274","10.60.242.143",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU14",,,,,"CPPLUS","Y"
"275","10.60.243.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWPU01",,,,,"CPPLUS","Y"
"276","10.60.240.138",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENMU16",,,,,"CPPLUS","Y"
"277","10.60.243.50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWPU06",,,,,"Dahuva","Y"
"278","10.185.181.179","0","working","working","working",NULL,"ok",,"2019-08-01 15:47:28","0","2019-08-01 14:37:26","P1ENMU30","1907729","1858560","2019-07-24T19:30:13Z",,"Hikvision","Y"
"279","10.185.180.245",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPN20",,,,,"CPPLUS","Y"
"280","10.185.180.234",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU77",,,,,"CPPLUS","Y"
"281","10.60.243.63",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWPU08",,,,,"CPPLUS","Y"
"282","10.185.180.228",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU19",,,,,"CPPLUS","Y"
"283","10.185.180.162","0","working","working","working",NULL,"ok","1230ms","2019-08-01 15:34:19","0","2019-08-01 15:12:42","P3ENPU22","1907729","0","2019-05-30T09:43:50Z",,"Hikvision","Y"
"284","10.60.243.203",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENPU42",,,,,"CPPLUS","Y"
"285","10.185.181.202","1","working","working","working",NULL,"ok","737ms","2019-08-01 15:34:33","0","2019-08-01 15:34:33","P3ENKK05","1907729","1796096","2019-05-10T19:14:00Z",,"Hikvision","Y"
"286","10.185.180.226",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENPU46",,,,,"Dahuva","Y"
"287","10.185.181.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENPU30",,,,,"CPPLUS","Y"
"288","10.236.212.61",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU57",,,,,"CPPLUS","Y"
"289","10.236.212.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWPU36",,,,,"Dahuva","Y"
"290","10.185.180.227",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU65",,,,,"CPPLUS","Y"
"291","10.60.243.24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU36",,,,,"CPPLUS","Y"
"292","10.185.181.246",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENBL48",,,,,"CPPLUS","Y"
"293","10.60.243.51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENPU28",,,,,"CPPLUS","Y"
"294","10.236.212.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU63",,,,,"CPPLUS","Y"
"295","10.236.212.59",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU41",,,,,"CPPLUS","Y"
"296","10.185.181.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1EWPU52",,,,,"CPPLUS","Y"
"297","10.60.243.69",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU15",,,,,"CPPLUS","Y"
"298","10.60.240.121",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P3ENPU16",,,,,"CPPLUS","Y"
"299","10.60.243.96",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0000-00-00 00:00:00","0","0000-00-00 00:00:00","P1ENPU31",,,,,"CPPLUS","N"
